timestamp_s,Right_Thumb,Right_Index,Right_Middle,Right_Ring,Right_Pinky,Left_Thumb,Left_Index,Left_Middle,Left_Ring,Left_Pinky
0.037,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0.038,0,0,0,0,0,11,0,0,0,0
0.144,0,0,0,0,0,11,0,0,0,0
0.148,0,0,0,0,0,11,0,0,0,0
0.224,0,0,0,0,0,11,0,0,0,0
0.244,0,0,0,0,0,11,0,0,0,0
0.325,0,0,0,0,0,11,0,0,0,0
0.352,0,0,0,0,0,11,0,0,0,0
0.431,0,0,0,0,0,11,0,0,0,0
0.439,0,0,0,0,0,11,0,0,0,0
0.525,0,0,0,0,0,11,0,0,0,0
0.544,0,0,0,0,0,11,0,0,0,0
0.628,0,0,0,0,0,11,0,0,0,0
0.648,0,0,0,0,0,11,0,0,0,0
0.741,0,0,0,0,0,11,0,0,0,0
0.743,0,0,0,0,0,11,0,0,0,0
0.824,0,0,0,0,0,11,0,0,0,0
0.838,0,0,0,0,0,11,0,0,0,0
0.936,0,0,0,0,0,11,0,0,0,0
0.939,0,0,0,0,0,11,0,0,0,0
1.025,0,0,0,0,0,11,0,0,0,0
1.033,0,0,0,0,0,11,0,0,0,0
1.125,0,0,0,0,0,11,0,0,0,0
1.144,0,0,0,0,0,11,0,0,0,0
1.225,0,0,0,0,0,11,0,0,0,0
1.244,0,0,0,0,0,11,0,0,0,0
1.328,0,0,0,0,0,11,0,0,0,0
1.348,0,0,0,0,0,11,0,0,0,0
1.436,0,0,0,0,0,11,0,0,0,0
1.448,0,0,0,0,0,11,0,0,0,0
1.544,0,0,0,0,0,11,0,0,0,0
1.552,0,0,0,0,0,11,0,0,0,0
1.624,0,0,0,0,0,11,0,0,0,0
1.652,0,0,0,0,0,11,0,0,0,0
1.73,0,0,0,0,0,11,0,0,0,0
1.748,0,0,0,0,0,11,0,0,0,0
1.828,0,0,0,0,0,11,0,0,0,0
1.844,0,0,0,0,0,11,0,0,0,0
1.93,0,0,0,0,0,11,0,0,0,0
1.944,0,0,0,0,0,11,0,0,0,0
2.024,0,0,0,0,0,11,0,0,0,0
2.044,0,0,0,0,0,11,0,0,0,0
2.124,0,0,0,0,0,11,0,0,0,0
2.144,0,0,0,0,0,11,0,0,0,0
2.225,0,0,0,0,0,11,0,0,0,0
2.233,0,0,0,0,0,11,0,0,0,0
2.334,0,0,0,0,0,11,0,0,0,0
2.336,0,0,0,0,0,11,0,0,0,0
2.424,0,0,0,0,0,11,0,0,0,0
2.433,0,0,0,0,0,11,0,0,0,0
2.533,0,0,0,0,0,11,0,0,0,0
2.534,0,0,0,0,0,11,0,0,0,0
2.633,0,0,0,0,0,11,0,0,0,0
2.636,0,0,0,0,0,11,0,0,0,0
2.724,0,0,0,0,0,11,0,0,0,0
2.733,0,0,0,0,0,11,0,0,0,0
2.828,0,0,0,0,0,11,0,0,0,0
2.833,0,0,0,0,0,11,0,0,0,0
2.924,0,0,0,0,0,11,0,0,0,0
2.933,0,0,0,0,0,11,0,0,0,0
3.024,0,0,0,0,0,11,0,0,0,0
